SN,版本,MAC,时间,结果,通知治具开始测量静态电流（CC）,等待治具数据长包-机号,等待治具数据长包-静态电流(uA),等待治具数据长包-工作电流(mA),等待治具数据长包-充电电流(mA),等待治具数据长包-泵电压(mV),等待治具数据长包-MCU电压(mV),等待治具数据长包-阀电压(mV),MES启动,扫描连接蓝牙,M8 LED全开,M8读取版本号,M8获取电量信息,M8查询电池温度,M8开启按键上报,M8检查模式切换,M8检查减挡位,M8检查加挡位,通知治具准备开始测试（AA）,M8吸力测试开,通知治具开始测量工作电流（EE）,等待治具工作电流测量完成,M8吸力测试关,M8关机
M800DCC4000011511LMB66G00324,自由测试工站   V1.1.14,DC:C4:00:00:11:51,2026-06-18 20:33:24,FAIL,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=378 允许[250500](通过),当前值=1116 允许[9001200](通过),当前值=3928 允许[38004500](通过),当前值=3309 允许[32503400](通过),当前值=4855 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),62(通过),24(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000011611LMB66G00323,自由测试工站   V1.1.14,DC:C4:00:00:11:61,2026-06-18 20:32:05,FAIL,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=388 允许[250500](通过),当前值=1191 允许[9001200](通过),当前值=4012 允许[38004500](通过),当前值=3312 允许[32503400](通过),当前值=4866 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),54(通过),23(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000011711LMB66G00322,自由测试工站   V1.1.14,DC:C4:00:00:11:71,2026-06-18 20:26:12,FAIL,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=379 允许[250500](通过),当前值=1137 允许[9001200](通过),当前值=4017 允许[38004500](通过),当前值=3309 允许[32503400](通过),当前值=4871 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),59(通过),24(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000011811LMB66G00321,自由测试工站   V1.1.14,DC:C4:00:00:11:81,2026-06-18 19:54:44,FAIL,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=382 允许[250500](通过),当前值=1200 允许[9001200](通过),当前值=3986 允许[38004500](通过),当前值=3320 允许[32503400](通过),当前值=4854 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),54(通过),24(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000011911LMB66G00320,自由测试工站   V1.1.14,DC:C4:00:00:11:91,2026-06-18 21:27:09,FAIL,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=371 允许[250500](通过),当前值=1193 允许[9001200](通过),当前值=3948 允许[38004500](通过),当前值=3309 允许[32503400](通过),当前值=4863 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),52(通过),24(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000011A11LMB66G00319,自由测试工站   V1.1.14,DC:C4:00:00:11:A1,2026-06-18 21:17:56,FAIL,1(通过),当前值=1 允许[012](通过),当前值=16 允许[1030](通过),当前值=408 允许[250500](通过),当前值=1111 允许[9001200](通过),当前值=4023 允许[38004500](通过),当前值=3322 允许[32503400](通过),当前值=4880 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),52(通过),24(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000011B11LMB66G00318,自由测试工站   V1.1.14,DC:C4:00:00:11:B1,2026-06-18 20:00:49,FAIL,1(通过),当前值=1 允许[012](通过),当前值=14 允许[1030](通过),当前值=377 允许[250500](通过),当前值=1118 允许[9001200](通过),当前值=4025 允许[38004500](通过),当前值=3269 允许[32503400](通过),当前值=4842 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),57(通过),23(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000011C11LMB66G00317,自由测试工站   V1.1.14,DC:C4:00:00:11:C1,2026-06-18 20:16:44,FAIL,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=382 允许[250500](通过),当前值=1185 允许[9001200](通过),当前值=3989 允许[38004500](通过),当前值=3316 允许[32503400](通过),当前值=4836 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),54(通过),23(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000011D11LMB66G00316,自由测试工站   V1.1.14,DC:C4:00:00:11:D1,2026-06-23 14:13:44,FAIL,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=373 允许[250500](通过),当前值=1177 允许[9001200](通过),当前值=4048 允许[38004500](通过),当前值=3326 允许[32503400](通过),当前值=4833 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),52(通过),24(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000011E11LMB66G00315,自由测试工站   V1.1.14,DC:C4:00:00:11:E1,2026-06-18 20:34:59,PASS,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=381 允许[250500](通过),当前值=1116 允许[9001200](通过),当前值=4021 允许[38004500](通过),当前值=3344 允许[32503400](通过),当前值=4841 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),45(通过),24(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000011F11LMB66G00314,自由测试工站   V1.1.14,DC:C4:00:00:11:F1,2026-06-18 20:31:20,PASS,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=315 允许[250500](通过),当前值=1196 允许[9001200](通过),当前值=3981 允许[38004500](通过),当前值=3314 允许[32503400](通过),当前值=4845 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),65(通过),23(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000012021LMB66G00313,自由测试工站   V1.1.14,DC:C4:00:00:12:02,2026-06-18 20:38:27,PASS,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=370 允许[250500](通过),当前值=1187 允许[9001200](通过),当前值=4025 允许[38004500](通过),当前值=3299 允许[32503400](通过),当前值=4846 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),60(通过),23(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000012121LMB66G00312,自由测试工站   V1.1.14,DC:C4:00:00:12:12,2026-06-18 20:39:13,FAIL,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=378 允许[250500](通过),当前值=1129 允许[9001200](通过),当前值=4029 允许[38004500](通过),当前值=3324 允许[32503400](通过),当前值=4886 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),54(通过),23(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000012221LMB66G00311,自由测试工站   V1.1.14,DC:C4:00:00:12:22,2026-06-18 21:43:14,FAIL,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=384 允许[250500](通过),当前值=1063 允许[9001200](通过),当前值=4019 允许[38004500](通过),当前值=3321 允许[32503400](通过),当前值=4850 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),59(通过),23(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000012321LMB66G00310,自由测试工站   V1.1.14,DC:C4:00:00:12:32,2026-06-18 20:41:17,FAIL,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=365 允许[250500](通过),当前值=1017 允许[9001200](通过),当前值=3942 允许[38004500](通过),当前值=3327 允许[32503400](通过),当前值=4827 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),40(通过),24(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000012421LMB66G00309,自由测试工站   V1.1.14,DC:C4:00:00:12:42,2026-06-18 20:40:34,PASS,1(通过),当前值=1 允许[012](通过),当前值=16 允许[1030](通过),当前值=365 允许[250500](通过),当前值=1163 允许[9001200](通过),当前值=4018 允许[38004500](通过),当前值=3307 允许[32503400](通过),当前值=4869 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),60(通过),23(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000012521LMB66G00308,自由测试工站   V1.1.14,DC:C4:00:00:12:52,2026-06-18 20:47:29,FAIL,1(通过),当前值=1 允许[012](通过),当前值=16 允许[1030](通过),当前值=377 允许[250500](通过),当前值=1183 允许[9001200](通过),当前值=3991 允许[38004500](通过),当前值=3289 允许[32503400](通过),当前值=4852 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),57(通过),23(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000012621LMB66G00307,自由测试工站   V1.1.14,DC:C4:00:00:12:62,2026-06-18 20:37:05,FAIL,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=340 允许[250500](通过),当前值=1024 允许[9001200](通过),当前值=4026 允许[38004500](通过),当前值=3302 允许[32503400](通过),当前值=4872 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),52(通过),24(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000012721LMB66G00306,自由测试工站   V1.1.14,DC:C4:00:00:12:72,2026-06-18 21:40:08,FAIL,1(通过),当前值=1 允许[012](通过),当前值=16 允许[1030](通过),当前值=387 允许[250500](通过),当前值=1099 允许[9001200](通过),当前值=3993 允许[38004500](通过),当前值=3281 允许[32503400](通过),当前值=4830 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),55(通过),23(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000012821LMB66G00305,自由测试工站   V1.1.14,DC:C4:00:00:12:82,2026-06-18 21:28:19,FAIL,1(通过),当前值=1 允许[012](通过),当前值=16 允许[1030](通过),当前值=387 允许[250500](通过),当前值=1047 允许[9001200](通过),当前值=4012 允许[38004500](通过),当前值=3279 允许[32503400](通过),当前值=4846 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),45(通过),24(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000012921LMB66G00304,自由测试工站   V1.1.14,DC:C4:00:00:12:92,2026-06-18 21:25:02,PASS,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=369 允许[250500](通过),当前值=1119 允许[9001200](通过),当前值=4009 允许[38004500](通过),当前值=3318 允许[32503400](通过),当前值=4819 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),50(通过),24(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000012A21LMB66G00303,自由测试工站   V1.1.14,DC:C4:00:00:12:A2,2026-06-23 14:13:52,FAIL,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=362 允许[250500](通过),当前值=1128 允许[9001200](通过),当前值=3981 允许[38004500](通过),当前值=3315 允许[32503400](通过),当前值=4842 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),55(通过),23(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000012B21LMB66G00302,自由测试工站   V1.1.14,DC:C4:00:00:12:B2,2026-06-18 20:51:14,FAIL,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=400 允许[250500](通过),当前值=1141 允许[9001200](通过),当前值=4011 允许[38004500](通过),当前值=3309 允许[32503400](通过),当前值=4868 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),59(通过),25(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000012C21LMB66G00301,自由测试工站   V1.1.14,DC:C4:00:00:12:C2,2026-06-18 20:59:23,PASS,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=372 允许[250500](通过),当前值=1087 允许[9001200](通过),当前值=4016 允许[38004500](通过),当前值=3326 允许[32503400](通过),当前值=4859 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),64(通过),23(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000012D21LMB66G00300,自由测试工站   V1.1.14,DC:C4:00:00:12:D2,2026-06-18 21:10:37,FAIL,1(通过),当前值=1 允许[012](通过),当前值=16 允许[1030](通过),当前值=363 允许[250500](通过),当前值=1191 允许[9001200](通过),当前值=3982 允许[38004500](通过),当前值=3314 允许[32503400](通过),当前值=4846 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),50(通过),23(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000012E21LMB66G00299,自由测试工站   V1.1.14,DC:C4:00:00:12:E2,2026-06-23 14:13:50,FAIL,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=370 允许[250500](通过),当前值=1196 允许[9001200](通过),当前值=3941 允许[38004500](通过),当前值=3291 允许[32503400](通过),当前值=4893 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),62(通过),23(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000012F21LMB66G00298,自由测试工站   V1.1.14,DC:C4:00:00:12:F2,2026-06-18 20:44:10,FAIL,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=400 允许[250500](通过),当前值=1070 允许[9001200](通过),当前值=3971 允许[38004500](通过),当前值=3309 允许[32503400](通过),当前值=4836 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),52(通过),23(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000013031LMB66G00297,自由测试工站   V1.1.14,DC:C4:00:00:13:03,2026-06-18 21:47:07,FAIL,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=393 允许[250500](通过),当前值=965 允许[9001200](通过),当前值=3985 允许[38004500](通过),当前值=3286 允许[32503400](通过),当前值=4841 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),50(通过),24(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000013131LMB66G00296,自由测试工站   V1.1.14,DC:C4:00:00:13:13,2026-06-18 21:38:14,FAIL,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=277 允许[250500](通过),当前值=1141 允许[9001200](通过),当前值=4004 允许[38004500](通过),当前值=3317 允许[32503400](通过),当前值=4852 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),43(通过),24(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000013231LMB66G00295,自由测试工站   V1.1.14,DC:C4:00:00:13:23,2026-06-18 21:21:58,FAIL,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=385 允许[250500](通过),当前值=1129 允许[9001200](通过),当前值=4001 允许[38004500](通过),当前值=3308 允许[32503400](通过),当前值=4848 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),54(通过),23(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000013331LMB66G00294,自由测试工站   V1.1.14,DC:C4:00:00:13:33,2026-06-23 14:12:15,FAIL,1(通过),当前值=1 允许[012](通过),当前值=14 允许[1030](通过),当前值=393 允许[250500](通过),当前值=1104 允许[9001200](通过),当前值=3939 允许[38004500](通过),当前值=3317 允许[32503400](通过),当前值=4853 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),52(通过),23(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000013431LMB66G00293,自由测试工站   V1.1.14,DC:C4:00:00:13:43,2026-06-18 21:03:05,PASS,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=374 允许[250500](通过),当前值=1188 允许[9001200](通过),当前值=4032 允许[38004500](通过),当前值=3285 允许[32503400](通过),当前值=4842 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),55(通过),23(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000013531LMB66G00292,自由测试工站   V1.1.14,DC:C4:00:00:13:53,2026-06-18 21:03:57,FAIL,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=375 允许[250500](通过),当前值=1197 允许[9001200](通过),当前值=3968 允许[38004500](通过),当前值=3316 允许[32503400](通过),当前值=4832 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),57(通过),23(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000013631LMB66G00291,自由测试工站   V1.1.14,DC:C4:00:00:13:63,2026-06-18 20:56:20,FAIL,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=380 允许[250500](通过),当前值=1189 允许[9001200](通过),当前值=3975 允许[38004500](通过),当前值=3324 允许[32503400](通过),当前值=4860 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),52(通过),23(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000013731LMB66G00290,自由测试工站   V1.1.14,DC:C4:00:00:13:73,2026-06-23 14:13:42,FAIL,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=373 允许[250500](通过),当前值=1162 允许[9001200](通过),当前值=4043 允许[38004500](通过),当前值=3315 允许[32503400](通过),当前值=4851 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),45(通过),23(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000013831LMB66G00289,自由测试工站   V1.1.14,DC:C4:00:00:13:83,2026-06-18 21:35:21,PASS,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=388 允许[250500](通过),当前值=999 允许[9001200](通过),当前值=3960 允许[38004500](通过),当前值=3309 允许[32503400](通过),当前值=4868 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),59(通过),24(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000013931LMB66G00288,自由测试工站   V1.1.14,DC:C4:00:00:13:93,2026-06-18 21:25:48,FAIL,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=368 允许[250500](通过),当前值=1167 允许[9001200](通过),当前值=3938 允许[38004500](通过),当前值=3304 允许[32503400](通过),当前值=4802 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),59(通过),23(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000013A31LMB66G00287,自由测试工站   V1.1.14,DC:C4:00:00:13:A3,2026-06-18 20:29:09,FAIL,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=375 允许[250500](通过),当前值=1191 允许[9001200](通过),当前值=3931 允许[38004500](通过),当前值=3314 允许[32503400](通过),当前值=4832 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),55(通过),25(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000013B31LMB66G00286,自由测试工站   V1.1.14,DC:C4:00:00:13:B3,2026-06-18 21:13:24,PASS,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=262 允许[250500](通过),当前值=1184 允许[9001200](通过),当前值=4039 允许[38004500](通过),当前值=3315 允许[32503400](通过),当前值=4855 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),69(通过),23(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
